ns,title,category
0,Dog Star Adventure,1979 video games
0,Dungeon of Death,1979 video games
0,Dynasty!,1979 video games
0,Field Goal (video game),1979 video games
0,Flying Saucers (video game),1979 video games
0,FS1 Flight Simulator,1979 video games
0,Galaxian,1979 video games
0,Galaxy Wars,1979 video games
0,Global War (video game),1979 video games
0,Golf (Videopac game),1979 video games
0,HAUNT,1979 video games
0,Head On (video game),1979 video games
0,Heiankyo Alien,1979 video games
0,Invasion Force,1979 video games
0,Invasion Orion,1979 video games
0,Lemonade Stand,1979 video games
0,Lost Dutchman's Gold,1979 video games
0,Lunar Lander (1979 video game),1979 video games
0,Lunar Lander (video game genre),1979 video games
0,Lunar Rescue,1979 video games
0,Microsoft Adventure,1979 video games
0,Monaco GP (video game),1979 video games
0,Monkey Magic (video game),1979 video games
0,Morloc's Tower,1979 video games
0,Mystery Fun House (video game),1979 video games
0,NFL Football (video game),1979 video games
0,Ozma Wars,1979 video games
0,Pigskin (video game),1979 video games
0,Pirate Adventure,1979 video games
0,Pork Barrel (video game),1979 video games
0,Pyramid 2000,1979 video games
0,Pyramid of Doom,1979 video games
0,Round the Horn (video game),1979 video games
0,Sheriff (video game),1979 video games
0,Simutek Package One,1979 video games
0,SOS (arcade game),1979 video games
0,Space (video game),1979 video games
0,Space Fever,1979 video games
0,Space Invaders Part II,1979 video games
0,Speed Freak,1979 video games
0,Star Fire,1979 video games
0,Star Raiders,1979 video games
0,Star Trek III.4,1979 video games
0,Star Trek: Phaser Strike,1979 video games
0,Starbase Hyperion,1979 video games
0,Starfighter (video game),1979 video games
0,Starhawk (1979 video game),1979 video games
0,Strange Odyssey,1979 video games
0,Submarine (arcade game),1979 video games
0,Sundance (video game),1979 video games
0,Super Invader,1979 video games
0,Superman (Atari 2600),1979 video games
0,Tail Gunner,1979 video games
0,Telejogo II,1979 video games
0,Temple of Apshai,1979 video games
0,Three Mile Island (video game),1979 video games
0,Trek-80 (1979 video game),1979 video games
0,Video Chess,1979 video games
0,Voodoo Castle,1979 video games
0,Warrior (arcade game),1979 video games
0,Westward 1847,1979 video games
0,Who-Dun-It?,1979 video games
0,ABM (video game),1980 video games
0,Adventure (1980 video game),1980 video games
0,Airmail Pilot,1980 video games
0,Apple-Oids,1980 video games
0,Armor Attack,1980 video games
0,Astro Invader,1980 video games
0,Attack Force (video game),1980 video games
0,Auto Racing (video game),1980 video games
0,B-1 Nuclear Bomber,1980 video games
0,Balloon Bomber,1980 video games
0,Baseball (Intellivision video game),1980 video games
0,Basketball (1980 video game),1980 video games
0,Battlezone (1980 video game),1980 video games
0,Berzerk (video game),1980 video games
0,Bill Budge's Space Album,1980 video games
0,Boxing (Atari 2600),1980 video games
0,BSS 01,1980 video games
0,Carnival (video game),1980 video games
0,Centipede (video game),1980 video games
0,Computer Acquire,1980 video games
0,Computer Bismarck,1980 video games
0,Computer Conflict,1980 video games
0,Cosmic Patrol,1980 video games
0,Crazy Balloon,1980 video games
0,Crazy Climber,1980 video games
0,Creature Venture,1980 video games
0,Deathmaze 5000,1980 video games
0,Dodge 'Em,1980 video games
0,Dogfight (1980 video game),1980 video games
0,Dragon-Quest Adventure,1980 video games
0,Dragster (video game),1980 video games
0,Eamon (video game),1980 video games
0,Fishing Derby,1980 video games
0,Galactic Attack,1980 video games
0,Galactic Empire (1980 video game),1980 video games
0,Galactic Trader (1980 video game),1980 video games
0,Galaxy Invasion,1980 video games
0,Golf (Atari 2600),1980 video games
0,Heli Fire,1980 video games
0,Hellfire Warrior,1980 video games
0,Horse Racing (video game),1980 video games
0,The Human Adventure (video game),1980 video games
0,Invaders from Space (video game),1980 video games
0,Invasion From Outer Space,1980 video games
0,Kaitei Takara Sagashi,1980 video games
0,King & Balloon,1980 video games
0,Labyrinth (1980 video game),1980 video games
0,Lords of Karma,1980 video games
0,Lunar Lander (1980 video game),1980 video games
0,The Mean Checkers Machine,1980 video games
0,Meta-Trek,1980 video games
0,Micro-80 Pinball Machine,1980 video games
0,Midway Campaign,1980 video games
0,Missile Command,1980 video games
0,Mission Asteroid,1980 video games
0,Mission Escape!,1980 video games
0,Money Madness (video game),1980 video games
0,Monster Mash & Battleship,1980 video games
0,Moon Cresta,1980 video games
0,Musician (video game),1980 video games
0,Mystery House,1980 video games
0,N-Sub,1980 video games
0,NASL Soccer,1980 video games
0,Navarone (video game),1980 video games
0,Network (video game),1980 video games
0,North Atlantic Convoy Raider,1980 video games
0,NukeWar,1980 video games
0,Odyssey: The Compleat Apventure,1980 video games
0,Olympic Decathlon,1980 video games
0,Pac-Man,1980 video games
0,Parsector V,1980 video games
0,Phoenix (video game),1980 video games
0,Pinball (1980 video game),1980 video games
0,Planet Miners,1980 video games
0,Planetoids (video game),1980 video games
0,Polaris (video game),1980 video games
0,The Prisoner (video game),1980 video games
0,Project Omega,1980 video games
0,Radar Scope,1980 video games
0,Rally-X,1980 video games
0,Red Baron (1980 video game),1980 video games
0,Rescue at Rigel,1980 video games
0,Rip Off (video game),1980 video games
0,Rogue (video game),1980 video games
0,Sea Battle,1980 video games
0,Sea Duel,1980 video games
0,The Search Series,1980 video games
0,Skiing (Atari 2600),1980 video games
0,Skiing (Intellivision video game),1980 video games
0,Slag (video game),1980 video games
0,Space and Sport Games,1980 video games
0,Space Firebird,1980 video games
0,Space Games-3,1980 video games
0,Space Invaders II,1980 video games
0,Space Monster,1980 video games
0,Space Panic,1980 video games
0,Space Zap,1980 video games
0,Spectar,1980 video games
0,Star Castle,1980 video games
0,Star Cruiser (1980 video game),1980 video games
0,Star Warrior,1980 video games
0,Stellar Adventure,1980 video games
0,Stellar Track,1980 video games
0,Stone of Sisyphys,1980 video games
0,Stratovox,1980 video games
0,Super Nova (video game),1980 video games
0,Tank Battalion,1980 video games
0,Targ (video game),1980 video games
0,Terrorist (video game),1980 video games
0,Time Traveler (1980 video game),1980 video games
0,TV Vader,1980 video games
0,Tycoon (video game),1980 video games
0,Warlords (1980 video game),1980 video games
0,The Warp Factor,1980 video games
0,Windfall: The Oil Crisis Game,1980 video games
0,Winged Samurai,1980 video games
0,Wizard and the Princess,1980 video games
0,Wizard of Wor,1980 video games
0,Zork I,1980 video games
0,005,1981 video games
0,Adventure A: Planet of Death,1981 video games
0,Adventure in Time,1981 video games
0,The Adventures of Robby Roto!,1981 video games
0,Ali Baba and the Forty Thieves (video game),1981 video games
0,Alkemstone,1981 video games
0,Alpine Ski,1981 video games
0,Amidar,1981 video games
0,Apple Panic,1981 video games
0,Arena of Octos,1981 video games
0,Armored Car (video game),1981 video games
0,Asteroids Deluxe,1981 video games
0,Astro Blaster,1981 video games
0,Astro Fantasia,1981 video games
0,Astrosmash,1981 video games
0,Asylum (1981 video game),1981 video games
0,The Attack (video game),1981 video games
0,Avenger (1981 video game),1981 video games
0,The Battle of Shiloh (video game),1981 video games
0,Battle Trek,1981 video games
0,Bez-MX,1981 video games
0,Black Hole (1981 video game),1981 video games
0,Blackjack Master,1981 video games
0,Blitz (video game),1981 video games
0,Blitzkrieg (1981 video game),1981 video games
0,Borderline (video game),1981 video games
0,Bosconian,1981 video games
0,Boxing (1981 video game),1981 video games
0,Bug Attack,1981 video games
0,Car Wars (video game),1981 video games
0,Cartels & Cutthroats,1981 video games
0,Castle Wolfenstein,1981 video games
0,Caverns of Mars,1981 video games
0,Chennault's Flying Tigers,1981 video games
0,Colony 7,1981 video games
0,Color Robot Battle,1981 video games
0,Computer Baseball,1981 video games
0,Computer Quarterback,1981 video games
0,Conflict 2500,1981 video games
0,Conglomerates Collide,1981 video games
0,Cosmic Avenger,1981 video games
0,Cranston Manor,1981 video games
0,Crazy Kong,1981 video games
0,Crossfire (1981 video game),1981 video games
0,Crown of Arthain,1981 video games
0,"Crush, Crumble and Chomp!",1981 video games
0,Defender (1981 video game),1981 video games
0,Deflex,1981 video games
0,The Demon's Forge,1981 video games
0,Donkey Kong (video game),1981 video games
0,DONKEY.BAS,1981 video games
0,Dragon's Eye (video game),1981 video games
0,Dungeons & Dragons Computer Fantasy Game,1981 video games
0,Eastern Front (1941),1981 video games
0,Eliminator (1981 video game),1981 video games
0,Empire I: World Builders,1981 video games
0,Empire of the Over-Mind,1981 video games
0,Epoch (video game),1981 video games
0,Escape from Arcturus,1981 video games
0,Fantasy (video game),1981 video games
0,Freeway (video game),1981 video games
0,Frisky Tom,1981 video games
0,Frogger,1981 video games
0,Galactic Chase,1981 video games
0,Galaga,1981 video games
0,Galaxy (video game),1981 video games
0,Genetic Drift (video game),1981 video games
0,Ghost Town (video game),1981 video games
0,Gobbler,1981 video games
0,Gorf,1981 video games
0,Gorgon (video game),1981 video games
0,Guns of Fort Defiance,1981 video games
0,Hockey (1981 video game),1981 video games
0,Ice Hockey (Atari 2600),1981 video games
0,Jabbertalky,1981 video games
0,Jawbreaker (video game),1981 video games
0,Jump Bug,1981 video games
0,Jungler,1981 video games
0,Jupiter Lander,1981 video games
0,K-Razy Shoot-Out,1981 video games
0,K.C. Munchkin!,1981 video games
0,Kaboom! (video game),1981 video games
0,Kick (video game),1981 video games
0,Lady Bug (video game),1981 video games
0,Laser Blast,1981 video games
0,Lock 'n' Chase,1981 video games
0,Madness and the Minotaur,1981 video games
0,Make Trax,1981 video games
0,Micro Golf,1981 video games
